Arrival_Rate_Config,TTL_Mean_Config,Final_Acceptance_Rate,Max_Concurrent_VNRs,Total_Broken_VNRs,Arrival_Mean_Config,Arrival_Mean_Actual,TTL_Mean_Actual
4/100,50,0.914,8,36,25.0,23.584830339321357,51.38385167162426
4/100,100,0.872,10,64,25.0,23.584830339321357,102.75348025566345
4/100,150,0.836,11,91,25.0,23.584830339321357,154.12643983264576
4/100,200,0.804,14,121,25.0,23.584830339321357,205.50019567723055
4/100,250,0.751,15,133,25.0,23.584830339321357,256.8744826522817
4/100,300,0.716,16,151,25.0,23.584830339321357,308.248779182738
4/100,350,0.698,19,162,25.0,23.584830339321357,359.62307571319434
4/100,400,0.67,19,180,25.0,23.584830339321357,410.99737224365066
