Arrival_Rate_Config,TTL_Mean_Config,Final_Acceptance_Rate,Max_Concurrent_VNRs,Total_Broken_VNRs,Arrival_Mean_Config,Arrival_Mean_Actual,TTL_Mean_Actual
6/100,250,0.683,19,130,16.666666666666668,15.609780439121757,256.8744826522817
5/100,250,0.713,18,130,20.0,18.776447105788424,256.8744826522817
4/100,250,0.751,15,133,25.0,23.584830339321357,256.8744826522817
3/100,250,0.827,14,142,33.333333333333336,31.607784431137723,256.8744826522817
2/100,250,0.864,12,166,50.0,47.619760479041915,256.8744826522817
